university,user_id,user_name,number_tweets,friends_count,followers_count,created_at
pucv_cl,618575410.0,flamingxpie,44935,277,314,Tue Jun 26 00:32:30 +0000 2012
pucv_cl,618571342.0,PSUInformator,171,73,24,Tue Jun 26 00:25:21 +0000 2012
pucv_cl,48858010.0,Carito_Pinilla,3192,1673,591,Fri Jun 19 22:59:42 +0000 2009
pucv_cl,54379195.0,Gabigaviota,23808,283,168,Mon Jul 06 23:52:33 +0000 2009
pucv_cl,201970933.0,leonor_menares,1598,424,124,Wed Oct 13 01:11:47 +0000 2010
pucv_cl,216583965.0,juanulises_10,446,138,76,Wed Nov 17 04:32:12 +0000 2010
pucv_cl,325411409.0,Diegori0S,6666,453,256,Tue Jun 28 07:38:35 +0000 2011
pucv_cl,615965581.0,Vanessa_Munoz_R,3,138,51,Sat Jun 23 09:24:22 +0000 2012
pucv_cl,320912097.0,JosFelipeBernal,25,38,30,Mon Jun 20 18:39:14 +0000 2011
pucv_cl,99948545.0,cucalobos,2329,2146,505,Mon Dec 28 13:30:30 +0000 2009
pucv_cl,545443569.0,SebaHuertaLl,72,292,133,Wed Apr 04 18:57:35 +0000 2012
pucv_cl,118777584.0,pinina_73,12170,508,632,Mon Mar 01 18:32:42 +0000 2010
pucv_cl,599369080.0,pablicastillo,557,445,204,Mon Jun 04 16:20:00 +0000 2012
pucv_cl,105007773.0,arttemiisa,96,183,36,Fri Jan 15 02:15:08 +0000 2010
pucv_cl,614060515.0,spitoso,14,93,34,Thu Jun 21 05:48:22 +0000 2012
pucv_cl,68576430.0,rjarufe,30778,3890,4758,Tue Aug 25 01:56:00 +0000 2009
pucv_cl,610482428.0,Dejatumarca1,29,25,14,Sun Jun 17 03:48:29 +0000 2012
pucv_cl,577279923.0,fbabiertos,677,1777,530,Fri May 11 14:52:09 +0000 2012
pucv_cl,603312867.0,fosforochile,158,2009,419,Sat Jun 09 02:08:28 +0000 2012
pucv_cl,488691681.0,hakamatara33,98,607,80,Fri Feb 10 18:47:43 +0000 2012
pucv_cl,288447604.0,EmecarVina,43,294,146,Tue Apr 26 21:34:55 +0000 2011
pucv_cl,612037469.0,Joshe_Azul,333,824,87,Mon Jun 18 22:03:40 +0000 2012
pucv_cl,119082480.0,Eugenie_cdv,13,164,93,Tue Mar 02 16:28:54 +0000 2010
pucv_cl,349448280.0,hernancastro_,74443,4717,4191,Sat Aug 06 03:33:04 +0000 2011
pucv_cl,609219395.0,krnopazo,82,331,49,Fri Jun 15 16:02:33 +0000 2012
pucv_cl,593314459.0,vicgatica,76,227,57,Tue May 29 03:27:31 +0000 2012
pucv_cl,297605833.0,gromeroguzman,7550,3523,3385,Thu May 12 19:56:29 +0000 2011
pucv_cl,98394464.0,Fcamujica,82,141,61,Mon Dec 21 14:46:20 +0000 2009
pucv_cl,300570942.0,DarkKoke,70,77,21,Wed May 18 00:19:56 +0000 2011
pucv_cl,301727158.0,AmandaAravenaL,2128,360,195,Thu May 19 23:30:23 +0000 2011
pucv_cl,609528850.0,Francis37318392,1,15,3,Fri Jun 15 23:38:27 +0000 2012
pucv_cl,209615205.0,Abogados_Valpo,189,209,397,Fri Oct 29 14:55:05 +0000 2010
pucv_cl,419608284.0,raulmendez_,4034,1387,286,Wed Nov 23 15:22:58 +0000 2011
pucv_cl,381260189.0,monicmonichs,358,398,65,Wed Sep 28 01:04:23 +0000 2011
pucv_cl,64638187.0,nicoisi2004,899,1830,255,Tue Aug 11 05:41:51 +0000 2009
pucv_cl,466570371.0,GepcoChile,232,877,326,Tue Jan 17 15:14:09 +0000 2012
pucv_cl,14983626.0,carmijoa,95,508,178,Mon Jun 02 19:05:28 +0000 2008
pucv_cl,194375770.0,Coni_VB,119,215,93,Thu Sep 23 23:59:11 +0000 2010
pucv_cl,593038006.0,topsecreeet,723,269,136,Mon May 28 20:22:57 +0000 2012
pucv_cl,372028139.0,Folivaresv,315,257,83,Mon Sep 12 00:17:44 +0000 2011
pucv_cl,392151534.0,JonathanMilla2,12,22,19,Sun Oct 16 16:34:39 +0000 2011
pucv_cl,109010730.0,matiasramirezc,2561,169,155,Wed Jan 27 17:57:25 +0000 2010
pucv_cl,91587767.0,franciscodrake,1,25,3,Sat Nov 21 15:05:16 +0000 2009
pucv_cl,202796690.0,monicaolivaresf,13604,2769,1493,Thu Oct 14 21:04:33 +0000 2010
pucv_cl,187564726.0,CaroVelizU,6906,1632,2958,Mon Sep 06 15:45:58 +0000 2010
pucv_cl,574044489.0,culturavina,7357,532,9285,Mon May 07 21:02:21 +0000 2012
pucv_cl,604107809.0,TatyRuth,1604,437,163,Sun Jun 10 02:20:50 +0000 2012
pucv_cl,210946577.0,NicodePArenas,3925,389,554,Mon Nov 01 21:34:06 +0000 2010
pucv_cl,176977866.0,seba_guzman,3463,274,346,Tue Aug 10 23:13:22 +0000 2010
pucv_cl,53236482.0,paudundant,7189,389,729,Fri Jul 03 00:17:43 +0000 2009
pucv_cl,604149825.0,vgonzalezsantis,48,60,20,Sun Jun 10 01:13:39 +0000 2012
pucv_cl,217514311.0,vcfCamila,4,72,20,Fri Nov 19 18:53:04 +0000 2010
pucv_cl,223184272.0,clau_berris,798,834,526,Sun Dec 05 17:06:47 +0000 2010
pucv_cl,357224738.0,maelenaaa,1227,477,100,Thu Aug 18 01:31:49 +0000 2011
pucv_cl,603129712.0,ci_1250,10,20,9,Fri Jun 08 22:49:34 +0000 2012
pucv_cl,602897087.0,anibaloleam,11,13,13,Fri Jun 08 16:45:30 +0000 2012
pucv_cl,52296291.0,caaeii,638,536,636,Tue Jun 30 04:00:38 +0000 2009
pucv_cl,185810392.0,andreamaraboliv,6,133,44,Wed Sep 01 22:09:04 +0000 2010
pucv_cl,29534475.0,paulifernandez,779,331,505,Tue Apr 07 20:20:54 +0000 2009
pucv_cl,584351794.0,KarimViolin,54,252,67,Sat May 19 02:15:44 +0000 2012
pucv_cl,589327180.0,thayolave,54,224,43,Thu May 24 18:28:41 +0000 2012
pucv_cl,511189526.0,cecireyes6,17,365,137,Fri Mar 02 01:51:06 +0000 2012
pucv_cl,580309544.0,TiempodEscuchar,422,215,122,Mon May 14 22:48:13 +0000 2012
pucv_cl,533257979.0,jsolaricm,13,51,12,Thu Mar 22 16:01:52 +0000 2012
pucv_cl,232306169.0,DanyRamirezO,25,162,44,Thu Dec 30 20:00:55 +0000 2010
pucv_cl,96664942.0,Clauboehmwald,3591,152,104,Mon Dec 14 01:20:19 +0000 2009
pucv_cl,575420717.0,auna_medios,913,1430,628,Wed May 09 14:57:28 +0000 2012
pucv_cl,106065012.0,lilyepc,11298,617,339,Mon Jan 18 11:30:32 +0000 2010
pucv_cl,565127375.0,matias89ja,52,207,37,Sat Apr 28 03:36:29 +0000 2012
pucv_cl,40284773.0,carolinamarcos,4245,832,775,Fri May 15 17:14:28 +0000 2009
pucv_cl,58911512.0,eljamesbrown,552,1205,169,Tue Jul 21 20:32:12 +0000 2009
pucv_cl,27381916.0,jpariasr,579,1025,173,Sun Mar 29 04:45:42 +0000 2009
pucv_cl,566037153.0,iomyoga2012,195,262,80,Sun Apr 29 03:46:06 +0000 2012
pucv_cl,120464308.0,jdebarbieri,394,328,118,Sat Mar 06 14:20:24 +0000 2010
pucv_cl,99246474.0,lilyaparicio,8141,1536,466,Fri Dec 25 08:21:19 +0000 2009
pucv_cl,378082346.0,manuVM88,761,63,51,Thu Sep 22 16:19:30 +0000 2011
pucv_cl,585298223.0,JuanRamnVidal,2956,1283,206,Sun May 20 02:45:20 +0000 2012
pucv_cl,598889458.0,ESCUELACATOLICA,296,915,2533,Mon Jun 04 03:16:31 +0000 2012
pucv_cl,306467051.0,AEPEMATChile,112,107,126,Fri May 27 23:00:55 +0000 2011
pucv_cl,599378417.0,AntonietaRuz,54,115,46,Mon Jun 04 16:38:11 +0000 2012
pucv_cl,49813196.0,memoreyes,18,199,36,Mon Jun 22 23:45:14 +0000 2009
pucv_cl,230264014.0,Devil_1210,1100,353,104,Fri Dec 24 20:12:40 +0000 2010
pucv_cl,118430971.0,ferny23xi,16,141,41,Sun Feb 28 17:32:08 +0000 2010
pucv_cl,184520103.0,claudia_afur,487,800,206,Sun Aug 29 19:46:46 +0000 2010
pucv_cl,581437899.0,HumbertoMezaMaa,1087,1136,339,Tue May 15 23:56:28 +0000 2012
pucv_cl,202030638.0,Youintrox,8,38,0,Wed Oct 13 04:21:07 +0000 2010
pucv_cl,596094397.0,Reyestor,7,30,16,Fri Jun 01 03:50:37 +0000 2012
pucv_cl,551971236.0,gtorres_vantaz,103,74,37,Thu Apr 12 14:09:29 +0000 2012
pucv_cl,200586656.0,Yasmin_Javiera,18208,1912,1143,Sat Oct 09 17:49:33 +0000 2010
pucv_cl,596003688.0,ongenseaingles,6,5,3,Thu May 31 23:29:21 +0000 2012
pucv_cl,465240310.0,roma_baez,0,418,95,Mon Jan 16 03:59:27 +0000 2012
